"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"246","Optional Types","11490_29",0.0234774,"Western Great Plains Shortgrass Prairie",1272,2346,0,55.0779804
"247","Optional Types","11490_31_33",0.0230628,"Western Great Plains Shortgrass Prairie",1684,91240,1.9,2104.249872
"248","Optional Types","11590_29",0.0629112,"Rocky Mountain Montane Riparian Systems",1274,30425,0.6,1914.07326
"249","Optional Types","11620_29_30",0.0080232,"Western Great Plains Floodplain Systems",1276,60508,1.2,485.4677856
"250","Optional Types","11620_31_39_40",0.0099898,"Western Great Plains Floodplain Systems",1686,98019,2,979.1902062
"251","Optional Types","11790_31",0.0009882,"Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna",1687,239089,4.9,236.2677498
"252","Optional Types","13850_29_30",0.1000826,"Western Great Plains Wooded Draw and Ravine",1280,2519,0.1,252.1080694
"253","Optional Types","13850_31_39_40_42",0.09992,"Western Great Plains Wooded Draw and Ravine",1688,18185,0.4,1817.0452
"254","Optional Types","14950_31_39_40",0.0988502,"Western Great Plains Depressional Wetland Systems",1691,3376,0.1,333.7182752
"255","Replacement Fire","10110_20_29",0.008136,"Rocky Mountain Aspen Forest and Woodland",1249,27586,0.6,224.439696
"256","Replacement Fire","10130_31_38_39_40",0.0033938,"Western Great Plains Dry Bur Oak Forest and Woodland",1675,12525,0.3,42.507345
"257","Replacement Fire","10480_29",0.0037126,"Northwestern Great Plains Highland White Spruce Woodland",1250,88002,1.8,326.7162252
"258","Replacement Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1251,29,0,0.0732424
"259","Replacement Fire","10510_29",0.010743,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1252,14,0,0.150402
"260","Replacement Fire","10540_29",0.0033128,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,1564,0,5.1812192
"261","Replacement Fire","10550_29",0.0087036,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1254,3,0,0.0261108
"262","Replacement Fire","10610_20_29",0.0084644,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1257,27216,0.6,230.3671104
"263","Replacement Fire","10620_10_19_21_29_31",0.0035336,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1258,9,0,0.0318024
"264","Replacement Fire","10720_22_29",0.003041,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",1260,0,0,0
"265","Replacement Fire","10850_29_30",0.065863,"Northwestern Great Plains Shrubland",1261,5868,0.1,386.484084
"266","Replacement Fire","10860_29",0.0093834,"Rocky Mountain Lower Montane-Foothill Shrubland",1262,62585,1.3,587.260089
"267","Replacement Fire","10940_31_38",0.0440666,"Western Great Plains Sandhill Steppe",1679,792,0,34.9007472
"268","Replacement Fire","11060_20_21_29",0.0126868,"Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",1263,4061,0.1,51.5210948
"269","Replacement Fire","11170_29",0.0027236,"Southern Rocky Mountain Ponderosa Pine Savanna",1264,70,0,0.190652
"270","Replacement Fire","11250_20_29_30_31_33",0.010862,"Inter-Mountain Basins Big Sagebrush Steppe",1265,64404,1.3,699.556248
"271","Replacement Fire","11250_20_29_30_31_33",0.010862,"Inter-Mountain Basins Big Sagebrush Steppe",1677,682,0,7.407884
"272","Replacement Fire","11260_20_29_33",0.0201238,"Inter-Mountain Basins Montane Sagebrush Steppe",1266,114,0,2.2941132
"273","Replacement Fire","11320_31_38",0.1251102,"Central Mixedgrass Prairie",1681,109152,2.2,13656.0285504
"274","Replacement Fire","11390_29",0.028715,"Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland",1267,71563,1.5,2054.931545
"275","Replacement Fire","11400_29",0.0124844,"Northern Rocky Mountain Subalpine-Upper Montane Grassland",1268,1003,0,12.5218532
"276","Replacement Fire","11410_29_30",0.0739452,"Northwestern Great Plains Mixedgrass Prairie",1269,1398599,28.6,103419.6827748
"277","Replacement Fire","11410_31",0.1247792,"Northwestern Great Plains Mixedgrass Prairie",1682,270806,5.5,33790.9560352
"278","Replacement Fire","11450_29",0.0117916,"Rocky Mountain Subalpine-Montane Mesic Meadow",1270,5301,0.1,62.5072716
"279","Replacement Fire","11480_20_29_30",0.0466178,"Western Great Plains Sand Prairie",1271,10886,0.2,507.4813708
"280","Replacement Fire","11480_31_38",0.0645776,"Western Great Plains Sand Prairie",1683,490701,10.1,31688.2928976
"281","Replacement Fire","11490_29",0.047766,"Western Great Plains Shortgrass Prairie",1272,2346,0,112.059036
"282","Replacement Fire","11490_31_33",0.0470386,"Western Great Plains Shortgrass Prairie",1684,91240,1.9,4291.801864
"283","Replacement Fire","11500_31_39_40",0.1947052,"Western Great Plains Tallgrass Prairie",1685,3058,0.1,595.4085016
"284","Replacement Fire","11530_20_22_29_30",0.004888,"Inter-Mountain Basins Greasewood Flat",1273,1686,0,8.241168
"285","Replacement Fire","11590_29",0.0100066,"Rocky Mountain Montane Riparian Systems",1274,30425,0.6,304.450805
"286","Replacement Fire","11620_29_30",0.0088276,"Western Great Plains Floodplain Systems",1276,60508,1.2,534.1404208
"287","Replacement Fire","11620_31_39_40",0.0041602,"Western Great Plains Floodplain Systems",1686,98019,2,407.7786438
"288","Replacement Fire","11660_29",0.0048196,"Middle Rocky Mountain Montane Douglas-fir Forest and Woodland",1277,25,0,0.12049
"289","Replacement Fire","11790_31",0.0023088,"Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna",1687,239089,4.9,552.0086832
"290","Replacement Fire","11791_29_30",0.0033126,"Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Low Elevation Woodland",1278,1200713,24.6,3977.4818838
"291","Replacement Fire","11792_29_30",0.0026772,"Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna - Savanna",1279,459611,9.4,1230.4705692
"292","Replacement Fire","13850_29_30",0.0138884,"Western Great Plains Wooded Draw and Ravine",1280,2519,0.1,34.9848796
"293","Replacement Fire","13850_31_39_40_42",0.0110806,"Western Great Plains Wooded Draw and Ravine",1688,18185,0.4,201.500711
"294","Replacement Fire","14210_31_38_42_43_44_50_51",0.2824352,"Central Tallgrass Prairie",1689,743,0,209.8493536
"295","Replacement Fire","14950_31_39_40",0.0494932,"Western Great Plains Depressional Wetland Systems",1691,3376,0.1,167.0890432
"296","Surface Fire","10130_31_38_39_40",0.0335256,"Western Great Plains Dry Bur Oak Forest and Woodland",1675,12525,0.3,419.90814
"297","Surface Fire","10480_29",0.0220892,"Northwestern Great Plains Highland White Spruce Woodland",1250,88002,1.8,1943.8937784
"298","Surface Fire","10510_29",0.0722564,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1252,14,0,1.0115896
"299","Surface Fire","10540_29",0.049745,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,1564,0,77.80118
